URI,SmallURI,LargeURI,ImageWidth,Type,Priority,Caption,Taxon,Character,State,UseFor,TipStyle
https://photos.smugmug.com/Discover-Life-Uploads/DL-Nov10/i-tPCVzk9/0/68973236/X4/Andrena%2Chead%2Cmalar%20space%20long-X4.jpg,,,100%,image-web,,,,Malar,Long,,
#Wing r,,,100%,image-web,,,,,,,
https://photos.smugmug.com/Discover-Life-Uploads/DL-Andrena-traits-1/i-fs8cpmX/0/f0b939da/X4/r%20vein%20long-X4.jpg,,,100%,image-web,,,,Wingr,Long,,
https://photos.smugmug.com/Discover-Life-Uploads/DL-Sep1/i-W4r8r7h/0/146f1bfe/X3/Andrena%2Cwing%2Cr%20vein%20short-X3.jpg,,,100%,image-web,,,,Wingr,Short,,
#,,,100%,image-web,,,,,,,
#,,,100%,image-web,,,,,,,
#Labral process,,,100%,image-web,,,,,,,
https://photos.smugmug.com/Discover-Life-Uploads/DL-Dec-8/i-3qPDx6W/0/197d90e8/X3/Andrena%2Chead%2Clabral%20process%20entire%2Ctrachandrena-X3.jpg,,,100%,image-web,,,,LabralProcess,Entire,,
https://photos.smugmug.com/Discover-Life-Uploads/DL-Andrena-traits-1/i-f2pw2QX/0/695b9741/O/Labral%20process%20emarginate.jpg,,,100%,image-web,,,,LabralProcess,Emarginate,,
https://photos.smugmug.com/Discover-Life-Uploads/DL-Aug-1/i-rWZ6hRW/0/92220f85/O/Andrena%2Chead%2CLabral%20process%20longand%20emarginate.jpg,,,100%,image-web,,,,LabralProcess,Emarginate,,
https://photos.smugmug.com/Discover-Life-Uploads/DL-Dec-8/i-Rnfdmws/0/0f8a2f3b/X3/Andrena%2Chead%2Clabral%20process%20bidentate%2Cevoluta-X3.jpg,,,100%,image-web,,,,LabralProcess,Bidentate,,
#,,,100%,image-web,,,,,,,
#Corbicula,,,100%,image-web,,,,,,,
https://photos.smugmug.com/Discover-Life-Uploads/DL-Andrena-traits-1/i-MmGsLK5/0/d2550a94/O/Propodeal%20corb%20complete.jpg,,,100%,image-web,,,,Corbicula,Complete,,
https://photos.smugmug.com/Discover-Life-Uploads/DL-Dec-8/i-94KQzJR/0/2e1f319f/X4/Andrena%2Cthorax%2CPropodeal%20corb%20complete%2Cmicrandrena-X4.jpg,,,100%,image-web,,,,Corbicula,Complete,,
https://photos.smugmug.com/Discover-Life-Uploads/DL-Andrena-traits-1/i-gRLKz2J/0/cd6c2b0a/X4/Propodeal%20corb%20incomplete-X4.jpg,,,100%,image-web,,,,Corbicula,Incomplete,,
#,,,100%,image-web,,,,,,,
#Propodeal Triangle,,,100%,image-web,,,,,,,
#,,,100%,image-web,,,,PropTri,None,,
https://photos.smugmug.com/Discover-Life-Uploads/DL-Nov10/i-q58gS3r/0/5af0ae3f/X4/Andrena%2Cthorax%2Cprop%20triangle%2040pct-X4.jpg,,,100%,image-web,,,,PropTri,Some,,
https://photos.smugmug.com/Discover-Life-Uploads/DL-Andrena-traits-1/i-GPPk6Lj/0/99c725a5/O/Prop%20triangle%20100%25.jpg,,,100%,image-web,,,,PropTri,All,,
#,,,100%,image-web,,,,,,,
#Fovea to Ocellus,,,100%,image-web,,,,,,,
https://photos.smugmug.com/Discover-Life-Uploads/DL-Andrena-traits-1/i-KsB5C6Q/0/e9731652/O/Fovea%20to%20ocellus%201ocd.jpg,,,100%,image-web,,,,FoveaDist,One,,
#,,,100%,image-web,,,,FoveaDist,Less,,
https://photos.smugmug.com/Discover-Life-Uploads/DL-Andrena-traits-1/i-kmNzJN8/0/5a4750a9/O/Fovea%20to%20ocellus%20%3E1.jpg,,,100%,image-web,,,,FoveaDist,More,,
#,,,100%,image-web,,,,,,,
#Vertex to Ocellus,,,100%,image-web,,,,,,,
https://photos.smugmug.com/Discover-Life-Uploads/DL-Andrena-traits-1/i-2gMKGbL/0/777b5eb5/O/vertex%20height%201ocd.jpg,,,100%,image-web,,,,Vertex,One,,
